product_name_en,brands,quantity,category,subcategory,labels,ingredients_text_en,energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,fiber_value,proteins_value,sodium_value,monounsaturated-fat_value,polyunsaturated-fat_value,trans-fat_value,cholesterol_value,added-sugars_value,off:nova_groups,off:nutriscore_grade,has_gluten,has_milk,has_soybeans,has_nuts,has_mustards,has_peanuts,has_sulphur-dioxide-and-sulphites,has_sesame-seeds,health_score_standard,health_label_standard,health_confidence_standard,health_score_diabetic,health_label_diabetic,health_confidence_diabetic,health_score_hypertension,health_label_hypertension,health_confidence_hypertension,health_score_bodybuilder,health_label_bodybuilder,health_confidence_bodybuilder,health_score_vegan,health_label_vegan,health_confidence_vegan,health_score_vegetarian,health_label_vegetarian,health_confidence_vegetarian,health_score_eggetarian,health_label_eggetarian,health_confidence_eggetarian,health_score_jain,health_label_jain,health_confidence_jain,health_score_pregnancy,health_label_pregnancy,health_confidence_pregnancy,health_score_lactating,health_label_lactating,health_confidence_lactating,health_score_elderly,health_label_elderly,health_confidence_elderly
Sumeru Fries,Sumeru,400g,Snacks,"Chips, Wafers & Crisps","Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Choki Choki Chocolate Milk,"Choki Choki, Mayora",,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Ram Bandhu Sambar Masala,Ram Bandhu,,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Jimjam Pops,Britannia,350g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","REFINED WHEAT FLOUR (MAIDA), SUGAR, REFINED PALM OIL & INTERESTERIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, MILK SOLIDS, EDIBLE MAIZE STARCH, FRUIT PRODUCTS (1%) (APPLE JUICE CONCENTRATE, BANANA POWDER, PLUM JUICE CONCENTRATE), EMULSIFIERS [322(i) & 471], IODISED SALT, ARTIFICIAL (VANILLA, RASPBERRY, PINEAPPLE, APRICOT) & NATURE IDENTICAL FLAVOURING SUBSTANCES, ACIDITY REGULATORS [330 & 331(iii)], GELLING AGENT (440), RAISING AGENTS [500(ii) & 503(ii)] AND COLOUR (122). (Numbers in brackets as per International Numbering System) CONTAINS _WHEAT_, _MILK_ & _SOY_.",500.0,21.7,12.2,79.2,37.3,,5.0,196.0,7.4,2.0,0.0,0.1,31.6,4.0,e,1,1,1,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Salted Peanuts,Haldiram'S,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,225.0,18.17,11.0,7.65,,1.17,7.22,148.0,3.77,,,,,,unknown,0,0,0,0,0,0,0,0,1.0,green,high,0.2868,green,high,1.0,green,high,1.0,green,high,0.5639,green,high,0.5639,green,high,0.5639,green,high,0.5639,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Grb Orange Soan Papdi,Grb,200g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Bansi Rava,Aashirvaad,500g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India",Durum Wheat,382.0,1.1,0.23,76.0,1.7,,11.1,2.1,,,,,,1.0,b,1,0,0,0,0,0,0,0,0.852,green,high,0.5029999999999999,green,high,0.5498999999999999,green,high,1.0,green,high,0.845,green,high,0.845,green,high,0.845,green,high,0.845,green,high,1.0,green,high,0.946,green,high,0.808,green,high
Gone Mad Gang Of 5 Premium Badam Sticks,Gone Mad,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","SUGAR, REFINED WHEAT FLOUR (MAIDA), EDIBLE VEGETABLE OIL (REFINED PALMOLEIN), NON-DAIRY CREAMER, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), ROASTED ALMOND POWDER (22%). MILK SOLIDS, DEXTROSE MONOHYDRATE, STARCH (TAPIOCA), MALTODEXTRIN, EMULSIFIER (INS 322(0), IODIZED SALT, PERMITTED NATURAL AND SYNTHETIC FOOD COLOURS (INS 150c, INS 150d & INS 124, INS TIO), NATURE IDENTICAL FLAVOURING SUBSTANCE (ALMOND).",488.0,20.0,10.0,71.0,,,7.0,119.0,,,,,,4.0,unknown,1,1,0,1,0,0,0,0,1.0,green,high,0.21000000000000002,amber,high,1.0,green,high,1.0,green,high,0.48999999999999994,green,high,0.48999999999999994,green,high,0.48999999999999994,green,high,0.48999999999999994,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Pro Clean Plant Protein,Yoga Bar,500g,Health & Nutrition,Dietary Supplements,"Vegetarian, Green Dot India","Protein Isolate Blend 73.6% (Pea Protein & Rice Protein), Cocoa Powder 14%, Coconut Milk Powder, Monk Fruit Powder,Natural Flavor & Flavoring Substances, (Xanthan Gum, Acacia Gum). Digestive Herbal Berc Fennel, Cumin, Fenugreek).",153.0,3.8,1.5,5.5,0.0,2.1,25.3,262.29999999999995,,,,,,4.0,not-applicable,0,0,0,0,0,0,0,0,1.0,green,high,0.885,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Nuts Delight Muesli,Kellogg'S,240g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","MULTIGRAIN MIX (67.6%) (CORN GRITS (21.2%), WHEAT (16.8%), ROLLED BARLEY (10.5%), ROLLED OATS (10.5%), RICE (8.6% ) ), DRY FRUITS & NUT (20%) (RAISINS (14.5%) [BROWN RAISINS (11.5%), BLACK RAISINS (3%)], ALMONDS (5.5%)), SUGAR, CEREAL EXTRACT, OLIGOFRUCTOSE, WHEAT BRAN, IODIZED SALT, COCOA SOLIDS, VITAMINS, FLAVOURS (NATURE IDENTICAL & ARTIFICIAL (COCONUT), ANTIOXIDANT (INS 307b), MINERAL AND COLOUR (INS 150d).",53.0,5.9,1.0,79.3,21.7,6.8,8.0,520.0,,,,,,4.0,c,1,0,0,1,0,0,1,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Mtr Veggie Upma,Mtr,60g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","Wheat semolina (72%), Interesterified vegetable fat, lodised salt, Dehydrated carrot (2.9%), Green chilli (2.1%), Ginger, Sugar, Maltodextrin (Corn), Curry leaves, Mustard, Bengal gram splits, Dehydrated onion, Anticaking agent (INS 551), Acidity regulators (INS 330 & 334), Natural and nature identical flavouring substance.",252.0,6.8,4.0,41.7,2.4,2.0,4.8,700.0,,,0.0,,0.9,4.0,e,1,0,0,0,1,0,0,0,1.0,green,high,0.5039999999999999,green,high,1.0,green,high,1.0,green,high,0.5319999999999999,green,high,0.5319999999999999,green,high,0.5319999999999999,green,high,0.5319999999999999,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Anil Happala,Anil,150g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Anil Happala,Anil,200g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Happala No. 4,Anil,100g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Krunch Chocochips,"Britannia, Tiger",60g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,487.0,,10.8,72.8,56.0,,6.1,178000.0,,,,,,,unknown,0,0,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Kachori,"Anand, Jolliz",,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Saffola Masala Millets,Saffola,35g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","Multigrain Mix (64.5Millet (41.1%) (Sorghum Milles, Pearl Millet Flakes}, Oats Flakes], Potato Flakes, Seasonmugar, lodised Salysed Vegetable Protein, Spices and Condiments&quot;, Starch, Acidity Malic acid), Potassium Chloride, Flavour enhancers (627, 631), Yeast ext sat Fiber], Dehydrated Vegetables (8.2%) [Carrot (2.8%), Onion (2.6%), French beans (...). Green Peas (0.5%)], Refined Rice bran Oil, Natural & Nature Identical Flavouring Substance, Masala Mix *Contains Turmeric, Coriander, Black Pepper, Cinnamon and Clove",132.0,3.1,0.6,24.6,2.0,2.9,2.8,450.0,,,,,,4.0,d,1,0,1,0,0,0,1,0,1.0,green,high,0.458,green,high,1.0,green,high,1.0,green,high,0.421,green,high,0.421,green,high,0.421,green,high,0.421,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Dairy Milk,Cadbury Is Sold By Modelez,6.1 g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Haldiram'S Soya Sticks,Haldiram'S,200g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","Tapioca Starch, Edible Vegetable oil (Palmolein, Cotton Seed, Corn, Sunflower, Rice Bran), Soya Flour (9%), Split Pulse Urad (Urad Dal) Flour, Mixed Spices (Refined Sugar, lodised Salt, Maltodextrin, Black Salt, Red Chilli Powder, Dried Mango Powder, Onion Powder, Glucose Powder, Preservative (INS 262 i), Coriander Powder, Cumin Powder, Fennel, Whey Powder, Ginger Powder, Garlic Powder, Clove Powder, Yeast Extract, Pipal, Black Pepper, Acidity Regulator (INS 296), Flavour Enhancer (INS 627, INS 631), Turmeric Powder, Anticaking Agent (INS 551), Bay Leaves, Acidity Regulator (INS 330), Colour (INS 160c), Nutmeg, Capsicum Powder, Cinnamon & Asafoetida), Hydrogenated Vegetable Oil (Vanaspati), Natural Flavouring Substance And Nature Identical Flavouring Substance Allergen: Contains Soy & Milk May Contains Peanut, Tree Nuts, Wheat, Mustard Seed & Sesame Seed",554.0,38.21,18.56,45.0,1.86,,7.46,629.0,,,,,,4.0,e,1,1,1,1,0,0,0,1,1.0,green,high,0.4098,green,high,1.0,green,high,1.0,green,high,0.5965999999999999,green,high,0.5965999999999999,green,high,0.5965999999999999,green,high,0.5965999999999999,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Meat / Mutton Masala,Suhana,200g,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,not-applicable,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Chocolate Peanut Butter Smooth,Alpino,400g,Pulses & Legumes,Lentils & Dals,"Vegetarian, No gluten, Green Dot India","Roasted Peanut (86%), Chocolate (13%) (Natural Cocoa, Cocoa Butter, Brown Sugar), Salt, Emulsifier (E471-100% Plant Base)",591.0,47.0,11.0,16.0,8.5,7.0,26.0,70.0,,,,,,4.0,c,0,0,0,0,0,1,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Pineapple Slices,Del Monte,439g,Fruits,Dried Fruits,"Vegetarian, Green Dot India","Pineapple (60.4%), Water, Sugar and Acidity Regulator (INS 330).",71.0,0.1,,18.5,16.2,,0.4,1.7,,,,,,3.0,unknown,0,0,0,0,0,0,0,0,1.0,green,high,1.0,green,high,0.182,amber,high,0.611,green,high,0.676,green,high,0.676,green,high,0.676,green,high,0.676,green,high,1.0,green,high,0.9059999999999999,green,high,0.966,green,high
Veg Biriyani Mix,Everest,50g,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India","Dehydrated Orion, Milk Solids, Iodized Salt, Chilli, Green Cardamom, Fennel, Cassia Leaf, Cassia Back (Taj), Rice Bran Edible Oil, Nutmeg, Anticaking Agent (INS 551).",305.27,5.83,1.35,54.07,14.14,,10.88,6111.79,,,,,,4.0,not-applicable,0,1,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Go Cheese Slices,Go,200g,Dairy,Milk & Milk Variants,"Vegetarian, Green Dot India","Cheddar cheese (made from microbial enzyme), Milk Solids, Emulsifier (INS 339 (iii), INS 450 (i), INS 452 (i)), lodized salt, Stabilizer (INS 407, INS 415), Preservative (INS 200). Allergen Advice: Contains Milk",,,,,,,,,,,,,,4.0,unknown,0,1,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Peanut Spread Creamy,Amul,300g,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India","Roasted peanut (91%), sugar (5%), edible vegetable oil (groundnut oil), iodized salt, stabilizer (471).",624.0,50.0,12.0,20.0,6.5,,26.0,155.0,,,,,,4.0,c,0,0,0,1,0,1,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Spice Mix For Paneer Butter Masala,Mother'S Recipe,75g,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India","Onion, Tomato Powder, Sugar, Cottonseed Oil, Iodized Salt (7%), Skimmed Milk Powder, Rice Flakes, Red Chilli Powder, Coriander, Cashew Nut, Dry Garlic, Mixed Spices, Acidity Regulator (INS 330) and Dry Ginger.",374.0,11.7,2.8,58.3,31.1,,8.9,3060.0,,,,,,3.0,not-applicable,0,1,0,1,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Britannia Winking Cow Vanilla 180Ml,"Britannia, Winkin' Cow",180ml,Beverages,Milk-Based Beverages,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
High Protein Oats Banana Creme,Yoga Bar,,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India",,167.0,3.2,0.6,23.9,4.9,4.6,13.0,161.8,,,0.0,0.0,0.0,,c,0,0,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Brown Bread,Modern,300g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","BREAD hi fibre brown Ingredients: Whole Wheat Flour (Atta) (31%), Refined Wheat Flour (Maida) (30%), Sugar, Wheat Bran, Yeast, Gluten, iodized Salt, Edible Vegetable Fat (Interesterified), Preservative (282), Malt Product, Emulsifier (471), Acidity Regulators {341(0), 260), Flour Treatment Agents (510, 1100(i)} and Antioxidant (300).",244.13,2.68,1.31,47.22,3.77,5.38,7.78,407.23,,,,,1.16,4.0,c,1,0,0,0,0,0,0,0,1.0,green,high,0.9331999999999999,green,high,1.0,green,high,1.0,green,high,0.9643999999999998,green,high,0.9643999999999998,green,high,0.9643999999999998,green,high,0.9643999999999998,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Atta Shakti,Modern,400g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India, No cholesterol","Whole Wheat Flour (Atta) (62.2%). Sugar, Gluten, Yeast, lodized Salt, Edible Vegetable Oil (Refined Palmolein Oil). Milk Solids, Malt Product, Preservatives (282, 200). Emulsifier (471). Acidity Regulators (341, 260), Flour Treatment Agents (1100, 1104, 1102) and Antioxidant (300).",243.06,2.34,1.06,45.6,4.38,8.4,9.9,495.6,,,0.0,,3.7,4.0,c,1,1,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
White Sliced Bread,Moreish,400g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","Refined Wheat Flour (Maida), Sugar, Yeast, lodised Salt, Soya Flour, Vegetable Oil (Refined Palmolien Oil), Preservatives (282), Acidity Regulator (260), Flour Treatment Agent (1100), Improvers [1100(i), 1104), Antioxidant (300).",255.0,1.9,0.55,51.0,2.43,,6.8,516.0,,,,,2.4,4.0,c,1,0,1,0,0,0,0,0,1.0,green,high,0.44700000000000006,green,high,1.0,green,high,1.0,green,high,0.5732,green,high,0.5732,green,high,0.5732,green,high,0.5732,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Super Soft Paneer,"Godrej, Jersey",200 g,Dairy,Milk & Milk Variants,"Vegetarian, No preservatives, Green Dot India",Milk solids & Glucono Delta Lactone (INS 575),291.0,23.0,14.6,4.2,4.2,,17.0,24.3,,,,14.0,,3.0,c,0,1,0,0,0,0,0,0,1.0,green,high,0.93,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Refined Sunflower Oil,Fortune,1 l,Nuts & Seeds,Seeds & Seed Mixes,"Vegetarian, Green Dot India","Refined Sunflower Oil. Permitted Antioxidant TBHQ (E-319), Vitamin A and Vitamin D.",900.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,14.0,49.0,1.0,,,2.0,c,0,0,0,0,0,0,0,0,0.0,amber,high,0.0,amber,high,0.51,green,high,0.0,amber,high,0.0,amber,high,0.0,amber,high,0.0,amber,high,0.0,amber,high,0.0,amber,high,0.0,amber,high,0.0,amber,high
Swing Juicier Drink,Paper Boat,125ml,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India","WATER, SUGAR, MANGO PULP CONCENTRATE (6.5%)*, ACIDITY REGULATOR (CITRIC ACID), FLAVOURS (NATURE-IDENTICAL AND NATURAL FLAVOURING SUBSTANCES), STABILIZER (PECTIN), ANTIOXIDANT (ASCORBIC ACID) AND VITAMIN D2. *RECONSTITUTED 13% MANGO PULP CONTENT.",62.8,0.0,0.0,15.7,15.5,0.0,0.0,3.3,,,,0.0,13.7,4.0,unknown,0,0,0,0,0,0,0,0,1.0,green,high,1.0,green,high,0.32999999999999996,green,high,0.6299999999999999,green,high,0.62,green,high,0.62,green,high,0.62,green,high,0.62,green,high,1.0,green,high,0.907,green,high,1.0,green,high
Top Ramen Curry,"Nissin, Top Ramen",420,Staples & Grains,Noodles & Vermicelli,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Milk Bread,Britannia,,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","REFINED WHEAT FLOUR (MAIDA), WATER, SUGAR. MILK SOLIDS (3.5%), YEAST, REFIN PALMOLEIN OIL, IODISED SALT, VITAL WHEAT GLUTEN,SOYA FLOUR, PRESERVATIVES (200), EMULSIFIERS [471, 481 (1) & 472), CALCIUM SALT, STABILIZER [412], DOUGH CONDITIONER [516], ACIDITY REGULATOR (260), FLOUR TREATMENT AGENT [510] ANTIOXIDANT [300] AND VITAMINS*.",279.0,1.8,0.7,58.8,,,6.9,242.0,,,,,,4.0,unknown,1,1,1,0,0,0,0,0,1.0,green,high,0.207,amber,high,1.0,green,high,1.0,green,high,0.483,green,high,0.483,green,high,0.483,green,high,0.483,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Bsure Vanilla Flavour,Bsure,,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Bajra Chips,Conscious Food,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","Pearl millet flour, Taploca starch, Edible vegetable oil (Rice bran Oil), Seasoning mix [Corn starch, Sugar, Iodised salt, Black salt, (Mixed spices and condiments: Jeera, Black pepper, Green cardamom, Dry ginger), Dry mango powder, Dehy: Fresh pudina leaves & Green coriande leaves powder, Green chilli powder)], Rice flour Gram flour, White lentil flour",553.0,35.4,16.3,48.4,1.8,5.5,7.8,475.0,,,,,,3.0,d,1,0,1,1,1,1,0,1,1.0,green,high,0.744,green,high,1.0,green,high,1.0,green,high,0.8930000000000001,green,high,0.8930000000000001,green,high,0.8930000000000001,green,high,0.8930000000000001,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Amul Gold 1Ltr,Amul,1 litre,Dairy,Milk & Milk Variants,"Vegetarian, Green Dot India",Milk,71.0,4.5,2.7,4.7,4.7,0.0,3.0,40.0,,,0.0,13.0,,1.0,c,0,1,0,0,0,0,0,0,1.0,green,high,0.5599999999999999,green,high,1.0,green,high,1.0,green,high,0.39799999999999996,green,high,0.39799999999999996,green,high,0.39799999999999996,green,high,0.39799999999999996,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Honey Corn Flakes,"Eatrite, Medplus",500g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","Corn grits (72%), Sugar(10%), Malt Extract, Honey (5.7%), Iodized salt, Nature-Identical Flavouring substance (Honey), Antioxidant (INS320), Emulsifier(INS 322)(i)",380.0,0.7,0.12,87.8,34.5,1.5,6.0,,,,,,,4.0,unknown,0,0,0,0,0,0,0,0,1.0,green,high,1.0,green,high,0.24359999999999998,amber,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Millet Chips,Lo Foods,,Snacks,Fried Snacks & Namkeen,"Vegetarian, No gluten, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Chana Dal,Good Life,1 kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",Chana Dal,,,,,,,,,,,,,,1.0,a,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Green Peas,,250g,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",Green Peas,,,,,,,,,,,,,,1.0,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Pringles ( Original ),"Kellanova, Pringles",107g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","Dried Potato (48%), Edible Vegetable Oil (Palm Oil), Corn Flour, Starch, Emulsifier (INS 471), Maltodextrin, Salt, Acidity Regulator (INS 330)",523.0,27.9,14.0,62.8,0.4,0.0,5.0,468.0,,,0.3,,0.0,4.0,e,1,0,0,0,0,0,0,0,1.0,green,high,0.19,amber,high,1.0,green,high,1.0,green,high,0.366,green,high,0.366,green,high,0.366,green,high,0.366,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Tropicana Fruitz,"Pepsico, Tropicana",500ml,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India","WATER, SUGAR, CONCENTRATED MIXED FRUIT JUICE 2.5% (FROM APPLE, MANGO, GUAVA, ORANGE BANANA, APRICOT, PEACH) ACIDITY REGULATORS (330, 331(iii)), STABILIZERS (466, 440), FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES), PRESERVATIVE (202), COLOUR (160a(i)).",48.0,0.0,0.0,12.0,11.0,,0.0,38.0,,,,,10.0,4.0,e,0,0,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,0.44000000000000006,green,high,0.44000000000000006,green,high,0.44000000000000006,green,high,0.44000000000000006,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Chakki Atta,Thirupthi,1 kg,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, ISO 22000, Green Dot India, ISO 22000:2018",Whole Wheat,378.0,2.48,,75.7,0.0,,13.3,0.0,,,,,0.0,1.0,unknown,1,0,0,0,0,0,0,0,0.798,green,high,0.399,green,high,0.399,green,high,1.0,green,high,0.931,green,high,0.931,green,high,0.931,green,high,0.931,green,high,1.0,green,high,0.931,green,high,0.665,green,high
