product_name_en,brands,quantity,category,subcategory,labels,ingredients_text_en,energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,fiber_value,proteins_value,sodium_value,monounsaturated-fat_value,polyunsaturated-fat_value,trans-fat_value,cholesterol_value,added-sugars_value,off:nova_groups,off:nutriscore_grade,has_gluten,has_milk,has_soybeans,has_nuts,has_mustards,has_peanuts,has_sulphur-dioxide-and-sulphites,has_sesame-seeds,health_score_standard,health_label_standard,health_confidence_standard,health_score_diabetic,health_label_diabetic,health_confidence_diabetic,health_score_hypertension,health_label_hypertension,health_confidence_hypertension,health_score_bodybuilder,health_label_bodybuilder,health_confidence_bodybuilder,health_score_vegan,health_label_vegan,health_confidence_vegan,health_score_vegetarian,health_label_vegetarian,health_confidence_vegetarian,health_score_eggetarian,health_label_eggetarian,health_confidence_eggetarian,health_score_jain,health_label_jain,health_confidence_jain,health_score_pregnancy,health_label_pregnancy,health_confidence_pregnancy,health_score_lactating,health_label_lactating,health_confidence_lactating,health_score_elderly,health_label_elderly,health_confidence_elderly
Un-Junked Dates,Open Secret,400 grams,Fruits,Dried Fruits,"No gluten, Vegetarian, Source of fibre, Green Dot India, High fibres, No added sugar",Dates,109.87,1.69,0.44,23.1,14.15,1.87,0.56,0.212,,,,0.0,,1.0,c,0,0,0,1,0,0,0,0,0.96588,green,high,1.0,green,high,0.12600000000000003,amber,high,0.5846,green,high,0.6987,green,high,0.6987,green,high,0.6987,green,high,0.6987,green,high,1.0,green,high,0.8486800000000001,green,high,0.8272600000000001,green,high
Unpolished Masoor Dal,Tata Sampann,1 kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",Red Split Lentils,,,,,,,,,,,,,,1.0,a,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Good Life Unpolished Masoor Dal,Good Life,1kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Masoor Dal,Goodlife,1 kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",MASOOR DAL,,,,,,,,,,,,,,1.0,a,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Good Life Masoor Dal 500G,Good Life,500g,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Premium Tea,Tata Tea,250g,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Britannia Marie Gold,Britannia,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED PARTLY SKIMMED MILK), RAISING AGENTS [503 & 500(i)], 10DISED SALT, MINERALS**, ARTIFICIAL (MILK & VANILLA) & NATURE IDENTICAL FLAVOURING SUBSTANCES, EMULSIFIER (472e), DOUGH CONDITIONER (223), VITAMINS, COLOUR (150d) AND IMPROVER (1101(i)). (Numbers in brackets as per International Numbering System)",445.0,10.6,5.1,79.5,21.2,,7.9,316.0,,,,,20.8,4.0,e,1,1,0,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Herbalife Formula 1 Nutrional Shake Mix,Herbalife,,Health & Nutrition,Dietary Supplements,"Vegetarian, Green Dot India","Soy Protein Isolate, Sugar, Fructose Powder, Whey Protein Concentrate, Lecithin Powder, Oat Fiber, Stabilizer (Guar gum - INS. 412), Inulin, Bulking Agent [Cellulose Powder - INS. 460 (i)], Soyabean Oil Powder, Com Powder, Calcium Caseinate, Potassium Chloride, Artificial vanilla flavouring substances, Diluent [Dicalcium Phosphate - INS. 341 (i)], Minerals##, Sodium Caseinate, Vitamins&quot;, Psyllium Husk Powder, Zingiber officinale Rhizome Powder, Emulsifier (Glyceryl monostearate - INS 471), Sweetener (Sucralose - INS 955), Stabilizer [Dipotassium hydrogen phosphate-INS 340 (ii)], Papain Powder, Antioxidant (Ascorbyl palmitate - INS 304).",376.8,7.2,1.6,42.0,36.0,12.0,36.0,492.0,,,,,24.0,4.0,not-applicable,1,1,1,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Meishi Gochujang Chilli Sauce,Meishi,175g,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India","Water, Sugar, Fructose Syrup, Miso (Soybeans, Rice, Salt), Chilli, Tomato, Salt, Soy Sauce, Modified Tapioca Starch, Yeast Extract, Colour (Paprika Extract), Acidity Regulator (Acetic Acid), Stabilizer (Xanthan Gum)",128.0,1.3,0.2,27.1,23.1,,2.0,1718.0,,,,,,4.0,e,0,0,1,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Maltoz,Maltoz,500 g,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Gujarati Gor Keri Pickle,Mother'S Recipe,,Condiments,Chutneys & Pickles,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Bb Popular Raw Peanuts,"Bigbasket, Tata",1kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Paneer,Milky Mist,200 g,Dairy,Milk & Milk Variants,"Vegetarian, Green Dot India",Milk Solids & Vinegar,283.0,22.0,12.0,5.1,5.1,,16.1,125.0,,,,59.0,,3.0,c,0,1,0,0,0,0,0,0,1.0,green,high,0.993,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
B.Gram Roasted Split,Good Life,,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Muesli,Saffola,450g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, No preservatives, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Nutrela Soya Chunks,Nutrela,1kg,Pulses & Legumes,Lentils & Dals,"Vegetarian, Green Dot India",Defatted Soy,53.1,0.12,0.03,5.025,1.08,,7.98,1.2,,,,,,1.0,b,0,0,0,0,0,0,0,0,0.5916,green,high,0.34740000000000004,green,high,0.3603,green,high,0.8904,green,high,0.6018000000000001,green,high,0.6018000000000001,green,high,0.6018000000000001,green,high,0.6018000000000001,green,high,0.7872,green,high,0.6606,green,high,0.549,green,high
